_id,gradeNumber
5c4703da0d032677593b2efc,B6106
5c4703da0d032677593b2efd,B6003
5c4703da0d032677593b2efe,B5004
5c4703da0d032677593b2eff,B55H02
5c4703da0d032677593b2f00,B52H06
5c4703da0d032677593b2f01,B48H03
5c4703da0d032677593b2f02,B55H03
5c4703da0d032677593b2f04,F52H04
5c4703da0d032677593b2f05,F50H08
5c4703da0d032677593b2f06,R5504
5c4703da0d032677593b2f07,R5410
5c4703da0d032677593b2f08,R5106
5c4703da0d032677593b2f09,Y5008
5c4703da0d032677593b2f0a,Y5808
5c4703da0d032677593b2f0b,Y5710
5c4703da0d032677593b2f0c,M5203
5c4703da0d032677593b2f0d,M6405
5c4703da0d032677593b2f0e,M5306
5c4703da0d032677593b2f0f,M5306L
5c4703da0d032677593b2f10,M6008
5c4703da0d032677593b2f11,M6008U
5c4703da0d032677593b2f12,M6112
5c4703da0d032677593b2f13,M5618
5c4703da0d032677593b2f14,M5220
5c4703da0d032677593b2f15,M5050
5c4703da0d032677593b2f16,P5402
5c4703da0d032677593b2f17,P4002
5c4703da0d032677593b2f18,P4402
5c4703da0d032677593b2f19,P4402U
5c4703da0d032677593b2f1a,P51H10
5c4703da0d032677593b2f1b,P50H03
5c4703da0d032677593b2f1c,S5801
5c4703da0d032677593b2f1d,M2525
5c4703da0d032677593b2f1e,M2550
5c4703da0d032677593b2f1f,E2507
5c4703da0d032677593b2f20,T3804
5c4703da0d032677593b2f21,T3804U
5c4703da0d032677593b2f22,F2001A
5c4703da0d032677593b2f23,F2001S
5c4703da0d032677593b2f24,F2002A
5c4703da0d032677593b2f25,F2002S
5c4703da0d032677593b2f26,F2003A
5c4703da0d032677593b2f27,MH03
5c4703da0d032677593b2f28,MH05K
5c4703da0d032677593b2f29,MH12N
5c4703da0d032677593b2f2a,GRADE 1
5c4703da0d032677593b2f2b,MH23
5c4703da0d032677593b2f2c,MH25N
5c4703da0d032677593b2f2d,MH55N
5c4703da0d032677593b2f2e,FH10S
5c4703da0d032677593b2f2f,FH08S
5c4703da0d032677593b2f30,FH03
5c4703da0d032677593b2f31,RH02Y
5c4703da0d032677593b2f32,RH03
5c4703da0d032677593b2f33,RH22U
5c4703da0d032677593b2f34,RH25X
5c4703da0d032677593b2f35,RH38
5c4703da0d032677593b2f36,EH03N
5c4703da0d032677593b2f37,MI03
5c4703da0d032677593b2f38,MI08N
5c4703da0d032677593b2f39,MI12NX
5c4703da0d032677593b2f3a,MI15
5c4703da0d032677593b2f3b,MI20X
5c4703da0d032677593b2f3c,MI35V
5c4703da0d032677593b2f3d,MI44N
5c4703da0d032677593b2f3e,MI70N
5c4703da0d032677593b2f3f,MI100N
5c4703da0d032677593b2f40,EI01N
5c4703da0d032677593b2f41,EI02N
5c4703da0d032677593b2f42,MR12C
5c4703da0d032677593b2f43,MR20K
5c4703da0d032677593b2f44,MR35K
5c4703da0d032677593b2f45,MR53C
5c4703da0d032677593b2f46,ER00T/V
5c4703da0d032677593b2f47,ER02C/N
5c4703da0d032677593b2f48,AS4000N
5c4703da0d032677593b2f49,AM350N
5c4703da0d032677593b2f4a,AS12000N
5c4703da0d032677593b2f4b,SS80N
5c4703da0d032677593b2f4c,H020SU
5c4703da0d032677593b2f4d,H045SG
5c4703da0d032677593b2f4e,H110FU
5c4703da0d032677593b2f4f,H350FG
5c4703da0d032677593b2f50,H110FG
5c4703da0d032677593b2f51,H029SG
5c4703da0d032677593b2f52,H034SG
5c4703da0d032677593b2f53,H080EY
5c4703da0d032677593b2f54,H100EY
5c4703da0d032677593b2f55,H026SG
5c4703da0d032677593b2f56,H030SG
5c4703da0d032677593b2f57,AS030N
5c4703da0d032677593b2f58,SS35N
5c4703da0d032677593b2f59,H350EG
5c4703da0d032677593b2f5a,AS160N
5c4703da0d032677593b2f5b,H200FG
5c4703da0d032677593b2f5c,H230FG
5c4703da0d032677593b2f5d,HP552R
5c4703da0d032677593b2f5f,H020EG
5c4703da0d032677593b2f60,H050MN
5c4703da0d032677593b2f61,H110MA
5c4703da0d032677593b2f62,AM120N
5c4703da0d032677593b2f63,H200MA
5c4703da0d032677593b2f64,H200MK
5c4703da0d032677593b2f65,AM650N
